Product_name,Price,Rating
Apple iPhone 6s (Space Grey| 32 GB),Rs.29499,4.5
Apple iPhone 6s (Gold| 32 GB),Rs.29499,4.4
Apple iPhone 6s (Silver| 32 GB),Rs.29499,4.4
Apple iPhone SE (Space Grey| 32 GB),Rs.17999,4.5
Apple iPhone SE (Rose Gold| 32 GB),Rs.16999,4.5
Apple iPhone 6s (Rose Gold| 32 GB),Rs.29499,4.5
Apple iPhone SE (Gold| 32 GB),Rs.16999,4.5
Apple iPhone SE (Silver| 32 GB),Rs.17999,4.5
Apple iPhone 6 (Gold| 32 GB),Rs.22999,4.4
Apple iPhone 7 (Black| 32 GB),Rs.37999,4.5
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.34499,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.22999,4.4
Apple iPhone 6s Plus (Gold| 32 GB),Rs.34499,4.4
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.34499,4.5
Apple iPhone 7 (Rose Gold| 32 GB),Rs.37999,4.5
Apple iPhone 7 Plus (Black| 32 GB),Rs.49899,4.6
Apple iPhone 7 (Gold| 32 GB),Rs.37999,4.5
Apple iPhone 7 (Silver| 32 GB),Rs.37999,4.5
Apple iPhone 6s Plus (Silver| 32 GB),Rs.34499,4.4
Apple iPhone 7 Plus (Gold| 32 GB),Rs.53999,4.6
Apple iPhone 8 (Silver| 64 GB),Rs.58999,4.5
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.76900,4.6
Apple iPhone 7 (Gold| 128 GB),Rs.52490,4.5
Apple iPhone XR (Black| 256 GB),Rs.91900,4.6
